SKU,PRODUCTO,VALOR,SKU_STR
8000010000000,Quilt Sherpa 1.5 Plazas Liso Beige,13.200,8000010000000
8000010000000,Quilt Sherpa 1.5 Plazas Liso Burdeo,13.200,8000010000000
8000010000000,Quilt Sherpa 1.5 Plazas Liso Gris,13.200,8000010000000
8000010000000,Quilt Sherpa 1.5 Plazas Liso Naranjo,13.200,8000010000000
8000010000000,Quilt Sherpa 1.5 Plazas Liso Verde,13.200,8000010000000
8000010000000,Quilt Sherpa 2 Plazas Liso Azul,15.100,8000010000000
8000010000000,Quilt Sherpa 2 Plazas Liso Beige,15.100,8000010000000
800001000000,Quilt Sherpa 2 Plazas Liso Burdeo,15.100,800001000000
8000010000000,Quilt Sherpa 2 Plazas Liso gris,15.100,8000010000000
8000010000000,Quilt Sherpa 2 Plazas Liso Naranjo,15.100,8000010000000
8000010000000,Quilt Sherpa 2 Plazas Liso Verde,15.100,8000010000000
8000010000000,Quilt Sherpa King Liso Azul,16.900,8000010000000
8000010000000,Quilt Sherpa King Liso Beige,16.900,8000010000000
8000010000000,Quilt Sherpa King Liso Burdeo,16.900,8000010000000
8000010000000,Quilt Sherpa King Liso Gris,16.900,8000010000000
800001000000,Quilt Sherpa King Liso Naranjo,16.900,800001000000
8000010000000,Quilt Sherpa King Liso Verde,16.900,8000010000000
800001000000,Set 2 Almohadas Microfibra Rectas 50x70 cm Blanca,1.597,800001000000
8000010000000,Set 2 Toallas Ares 460 grs Arena,6.111,8000010000000
800001000000,Set 2 Toallas Ares 460 grs Azul,6.111,800001000000
8000010000000,Set 2 Toallas Ares 460 grs Blanco,6.111,8000010000000
8000010000000,Set 2 Toallas Ares 460 grs Coral,6.111,8000010000000
8000010000000,Set 2 Toallas Ares 460 grs Gris,6.111,8000010000000
8000010000000,Set 2 Toallas Ares 460 grs Lila,6.111,8000010000000
8000010000000,Set 2 Toallas Ares 460 grs Marengo,6.111,8000010000000
8000010000000,Set 2 Toallas Ares 460 grs Rosa,6.111,8000010000000
8000010000000,Set 2 Toallas Ares 460 grs Turquesa,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Coral,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Blanco,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Turquesa,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Marengo,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Amarillo,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Rosado,6.111,8000010000000
8000010000000,Set 2 Toallas Egyptia 460 grs Gris,6.111,8000010000000
8000010000000,Set 2 Toallas Elite 450 grs Blanco,6.111,8000010000000
8000010000000,Set 2 Toallas Elite 450 grs Calipso,6.111,8000010000000
8000010000000,Set 2 Toallas Elite 450 grs Celeste,6.111,8000010000000
8000010000000,Set 2 Toallas Elite 450 grs Crudo,6.111,8000010000000
8000010000000,Set 2 Toallas Elite 450 grs Lila,6.111,8000010000000
8000010000000,Set 2 Toallas Elite 450 grs Taupe,6.111,8000010000000
800001000000,Set Cortinas 11 Piezas Tubo Diana Denim,11.092,800001000000
800001000000,Set Cortinas 11 Piezas Tubo Kate Denim,11.092,800001000000
800001000000,Set Cortinas 11 Piezas Tubo Leticia Denim,11.092,800001000000
800001000000,Set Cortinas 8 Piezas Argolla Leticia Mostaza,11.092,800001000000
800001000000,Set Cortinas Velo Lino Argolla Beige,5.092,800001000000
800001000000,Set Cortinas Velo Lino Presilla Beige,4.101,800001000000
800001000000,Set Cortinas Velo Lino Presilla Blanca,4.101,800001000000
800001000000,Sábana 1.5 Plazas 144 Hilos Azul,6.714,800001000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Bordada Line Azul,8.487,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Bordada Line Beige,8.487,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Bordada Line Gris,8.487,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Bordada Line Rosado,8.487,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Colores Lisos Verde,6.496,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampada Bari,7.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampada Catania,7.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampada Ferrara,7.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampada Parma,7.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampada Trento,7.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampado Azafran,6.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampado Curcuma,6.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampado Ginger,6.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Estampado Paprika,6.714,8000010000000
8000010000000,Sábana 1.5 Plazas 144 Hilos Gris,6.714,8000010000000
8000010000000,Sábana 1.5 Plazas 180 Hilos Crudo,7.555,8000010000000
8000010000000,Sábana 1.5 Plazas 180 Hilos Estampado Daisy,7.555,8000010000000
8000010000000,Sábana 1.5 Plazas 180 Hilos Estampado Lily,7.555,8000010000000
8000010000000,Sábana 1.5 Plazas 180 Hilos Gris,7.555,8000010000000
800001000000,Sábana 1.5 Plazas Broderie Bricks Crudo,6.588,800001000000
8000010000000,Sábana 1.5 Plazas Broderie Bricks Rosado,8.395,8000010000000
8000010000000,Sábana 1.5 Plazas Broderie Bricks Verde,8.395,8000010000000
8000010000000,Sábana 1.5 Plazas Microfibra Luna Roller Time,9.269,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Azul,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Bordada Line Azul,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Bordada Line Gris,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Bordada Line Rosado,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Bordada Line Terracota,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Bordada Line Verde,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Colores Lisos Mostaza,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Estampada Bari,10.924,8000010000000
8000010000000,Sábana 2 Plazas 144 Hilos Estampada Catania,10.924,8000010000000
